지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
941,2022-01-03 03:00,-3.1,0,.4,0,1025.6,1026.5,70,0,0
941,2022-01-03 04:00,-2.6,58.5,.7,0,1025.1,1026,65.1,0,0
941,2022-01-03 05:00,-2.6,32.1,.8,0,1025.5,1026.4,70.3,0,0
941,2022-01-03 06:00,-2.9,358.7,.8,0,1025.7,1026.6,71.6,0,0
941,2022-01-03 07:00,-3.1,348.2,1.1,0,1025.8,1026.7,73.2,0,0
941,2022-01-03 08:00,-3.5,0,.1,0,1026.1,1027,67.9,0,0
941,2022-01-03 09:00,-2.2,354.4,1.3,0,1026,1026.9,74.5,0,0
941,2022-01-03 10:00,1.1,288.4,.9,0,1026.4,1027.3,52.9,0,0
941,2022-01-03 11:00,3.4,261.4,1.1,0,1025.6,1026.5,36.6,0,0
941,2022-01-03 12:00,6.3,255.6,1.7,0,1024.3,1025.2,23.3,0,0
941,2022-01-03 13:00,8,208.1,2.6,0,1022.9,1023.8,12.2,0,0
941,2022-01-03 14:00,8.9,247.7,4.3,0,1022.3,1023.2,12,0,0
941,2022-01-03 15:00,9.3,271.1,3.4,0,1021.7,1022.6,12.2,0,0
941,2022-01-03 16:00,8.9,280.3,2.6,0,1021.6,1022.5,13.2,0,0
941,2022-01-03 17:00,7.6,300.7,1.4,0,1021.8,1022.7,17.4,0,0
941,2022-01-03 18:00,5.3,262,1,0,1022.7,1023.6,26.6,0,0
941,2022-01-03 19:00,3.9,237.3,1.2,0,1023.1,1024,35.2,0,0
941,2022-01-03 20:00,3.1,221.2,1.5,0,1023.5,1024.4,28,0,0
941,2022-01-03 21:00,2.1,231,1.3,0,1023.6,1024.5,37.7,0,0
941,2022-01-03 22:00,1.6,219.7,2.3,0,1023.9,1024.8,35.1,0,0
941,2022-01-03 23:00,1.1,217.4,1.8,0,1024.3,1025.2,36.1,0,0
941,2022-01-04 00:00,-.2,191,1.2,0,1024.7,1025.6,40.5,0,0
941,2022-01-04 01:00,-.6,0,.2,0,1024.6,1025.5,48.5,0,0
941,2022-01-04 02:00,-.5,208.4,1.6,0,1024.5,1025.4,43.9,0,0
941,2022-01-04 03:00,-.8,6.9,1,0,1024.6,1025.5,58.1,0,0
941,2022-01-04 04:00,-2.1,336.2,.5,0,1024.7,1025.6,62.2,0,0
941,2022-01-04 05:00,-2.1,0,.4,0,1024.7,1025.6,63.1,0,0
941,2022-01-04 06:00,-2.9,0,.3,0,1025.5,1026.4,68.9,0,0
941,2022-01-04 07:00,-1.5,322.7,1.1,0,1025.6,1026.5,56.3,0,0
941,2022-01-04 08:00,-1.5,343.4,.9,0,1025.9,1026.8,66.5,0,0
941,2022-01-04 09:00,-.5,346.8,1.2,0,1026.6,1027.5,65.7,0,0
941,2022-01-04 10:00,1.2,345.8,1,0,1027,1027.9,58.7,0,0
941,2022-01-04 11:00,5,265.9,1.2,0,1026.5,1027.4,45.5,0,0
941,2022-01-04 12:00,6.8,122.2,.7,0,1025.5,1026.4,41.4,0,0
941,2022-01-04 13:00,7.6,259.8,3.9,0,1024.2,1025.1,39.9,0,0
941,2022-01-04 14:00,8.1,247.5,4,0,1023.8,1024.7,36.7,0,0
941,2022-01-04 15:00,8.7,251.5,2.9,0,1024.1,1025,32.6,0,0
941,2022-01-04 16:00,8.7,252.6,2.8,0,1024.5,1025.4,28,0,0
941,2022-01-04 17:00,7.1,249.9,1.9,0,1024.7,1025.6,27.7,0,0
941,2022-01-04 18:00,5.5,86.9,1.4,0,1024.8,1025.7,30.1,0,0
941,2022-01-04 19:00,3.1,0,.4,0,1025,1025.9,40.8,0,0
941,2022-01-04 20:00,3.3,94.7,1.5,0,1025.2,1026.1,35.9,0,0
941,2022-01-04 21:00,1.3,0,.4,0,1025.9,1026.8,39.6,0,0
941,2022-01-04 22:00,1,355.8,1.4,0,1026.2,1027.1,44.9,0,0
941,2022-01-04 23:00,.4,2,1,0,1026.5,1027.4,45.6,0,0
941,2022-01-05 00:00,.5,9.5,1.8,0,1026.6,1027.5,41,0,0
941,2022-01-05 01:00,.2,7,1.3,0,1026.7,1027.6,40.4,0,0
941,2022-01-05 02:00,-.1,359.9,1.2,0,1026.7,1027.6,43.6,0,0
941,2022-01-05 03:00,-.2,3.3,1.5,0,1026.8,1027.7,43.9,0,0
941,2022-01-05 04:00,-1.1,353.8,.9,0,1026.6,1027.5,46.2,0,0
941,2022-01-05 05:00,-1.1,11.9,1,0,1026.5,1027.4,48.1,,
941,2022-01-05 06:00,-.9,6,.9,0,1026.6,1027.5,47.9,,
941,2022-01-05 07:00,-.8,357.9,1.3,0,1026.6,1027.5,45.1,,
941,2022-01-05 08:00,.2,.6,1.7,0,1027,1027.9,35.9,,
941,2022-01-05 09:00,1.1,327.4,1.2,0,1027.3,1028.2,38.7,,
941,2022-01-05 10:00,2.8,308.5,1.5,0,1027.4,1028.3,35.9,,
941,2022-01-05 11:00,3.4,333.3,1.7,0,1027,1027.9,37.5,,
941,2022-01-05 12:00,5.4,348.1,1.6,0,1026,1026.9,37.6,,
941,2022-01-05 13:00,7.3,324.9,1.9,0,1024.9,1025.8,39.2,,
941,2022-01-05 14:00,8.7,69.2,3,0,1023.8,1024.7,47.8,,
941,2022-01-05 15:00,8.8,56.3,2.2,0,1023.7,1024.6,49.5,,
941,2022-01-05 16:00,8.4,56.4,2.7,0,1023.7,1024.6,53.5,,
941,2022-01-05 17:00,7.9,33.9,1.6,0,1024.2,1025.1,54.7,,
941,2022-01-05 18:00,7.4,12.6,2,0,1024.7,1025.6,57,,
941,2022-01-05 19:00,7.1,33.7,2.4,0,1025.2,1026.1,60.1,,
941,2022-01-05 20:00,6.4,19.3,2.9,0,1025.3,1026.2,68.8,,
941,2022-01-05 21:00,5.1,356.9,2.7,0,1025.5,1026.4,75,,
941,2022-01-05 22:00,4.8,358.8,2.9,0,1025.5,1026.4,79.8,,
941,2022-01-05 23:00,4.4,12.2,2.5,0,1025.2,1026.1,85,,
941,2022-01-06 00:00,4,10.4,2,0,1024.5,1025.4,85.5,0,0
941,2022-01-06 01:00,3.9,7.8,1.7,0,1024,1024.9,83.6,0,0
941,2022-01-06 02:00,3.5,9.8,1.2,0,1023.7,1024.6,84,0,0
941,2022-01-06 03:00,3.5,0,.4,0,1023.9,1024.8,84.2,0,0
941,2022-01-06 04:00,3.2,0,.4,0,1023.4,1024.3,82.1,0,0
941,2022-01-06 05:00,3.3,6.4,1.4,0,1023.5,1024.4,80.5,0,0
941,2022-01-06 06:00,3.1,331,.9,0,1024,1024.9,81.5,0,0
941,2022-01-06 07:00,3.1,0,.3,0,1024.6,1025.5,79.6,0,0
941,2022-01-06 08:00,2.7,301.3,.6,0,1024.6,1025.5,81.1,0,0
941,2022-01-06 09:00,3.3,294.1,.9,0,1025.2,1026.1,81.4,0,0
941,2022-01-06 10:00,6.7,193.9,2.3,0,1025.5,1026.4,41.8,0,0
941,2022-01-06 11:00,8.4,322.1,2.5,0,1025.3,1026.2,21.9,0,0
941,2022-01-06 12:00,8.8,305.3,3.4,0,1024.6,1025.5,16.4,0,0
941,2022-01-06 13:00,9.6,301,3.8,0,1023.9,1024.8,14.5,0,0
941,2022-01-06 14:00,10,313.9,3.4,0,1023.6,1024.5,13.6,0,0
941,2022-01-06 15:00,10.1,326.6,2.8,0,1023.8,1024.7,15.2,0,0
941,2022-01-06 16:00,9.7,326.9,2.4,0,1024.1,1025,17.1,0,0
941,2022-01-06 17:00,8.3,323.8,2.7,0,1024.6,1025.5,19.1,0,0
941,2022-01-06 18:00,5.7,247.6,1,0,1025.4,1026.3,22.7,0,0
941,2022-01-06 19:00,4.7,353.1,.6,0,1026.2,1027.1,31.1,0,0
941,2022-01-06 20:00,4.7,304.8,.8,0,1027.2,1028.1,22.5,0,0
941,2022-01-06 21:00,1.9,240.3,1.2,0,1027.7,1028.6,42.9,0,0
941,2022-01-06 22:00,1.4,325.9,.6,0,1028.3,1029.2,44.5,0,0
941,2022-01-06 23:00,.4,9.3,.8,0,1028.5,1029.4,46.7,0,0
941,2022-01-07 00:00,0,358.2,1.6,0,1028.5,1029.4,50.2,0,0
941,2022-01-07 01:00,-.6,6.5,1.7,0,1028.6,1029.5,50,0,0
941,2022-01-07 02:00,-.9,17.1,1.3,0,1029.1,1030,52.7,0,0
941,2022-01-07 03:00,-1.3,5.6,1.6,0,1029.4,1030.3,57,0,0
941,2022-01-07 04:00,-1.7,10.4,1.1,0,1029.3,1030.2,59.9,0,0
941,2022-01-07 05:00,-1.8,7.8,1.4,0,1029.4,1030.3,60.3,0,0
941,2022-01-07 06:00,-2,5.6,1.4,0,1029.5,1030.4,64.2,0,0
941,2022-01-07 07:00,-2.1,355.2,1.5,0,1029.7,1030.6,61,0,0
941,2022-01-07 08:00,-2.3,9.6,1.8,0,1029.8,1030.7,62.1,0,0
941,2022-01-07 09:00,-1.1,338.5,1,0,1030.3,1031.2,57.9,0,0
941,2022-01-07 10:00,2.2,88.9,.5,0,1030.3,1031.2,47.3,0,0
941,2022-01-07 11:00,4.2,306.7,1.1,0,1029.5,1030.4,42.9,0,0
941,2022-01-07 12:00,6.8,334.2,1.2,0,1028.2,1029.1,30.6,0,0
941,2022-01-07 13:00,8.6,256.9,1.5,0,1027.3,1028.2,34.7,0,0
941,2022-01-07 14:00,9.7,219.9,2.8,0,1026.5,1027.4,29.8,0,0
941,2022-01-07 15:00,9.9,228.6,3.1,0,1026,1026.9,28.4,0,0
941,2022-01-07 16:00,9.8,223.7,2.6,0,1025.9,1026.8,26.2,0,0
941,2022-01-07 17:00,8.8,230.1,1.2,0,1026,1026.9,28.8,0,0
941,2022-01-07 18:00,6.5,112.2,1.3,0,1026.2,1027.1,33.2,0,0
941,2022-01-07 19:00,4.5,86.6,1.1,0,1026.6,1027.5,37.2,0,0
941,2022-01-07 20:00,2.9,357.4,.7,0,1026.7,1027.6,49.5,0,0
941,2022-01-07 21:00,.8,0,.3,0,1026.8,1027.7,65.3,0,0
941,2022-01-07 22:00,1.4,358.3,1.2,0,1026.7,1027.6,46.8,0,0
941,2022-01-07 23:00,.1,356.4,1.1,0,1026.4,1027.3,50.4,0,0
941,2022-01-08 00:00,-.9,0,.2,0,1026.3,1027.2,56.9,0,0
941,2022-01-08 01:00,-.8,339.6,.8,0,1025.8,1026.7,57.3,0,0
941,2022-01-08 02:00,-1.6,16.7,.7,0,1025.8,1026.7,69.3,0,0
941,2022-01-08 03:00,-2.1,5.4,.7,0,1025.6,1026.5,67.1,0,0
941,2022-01-08 04:00,-2.5,334.4,.5,0,1025.2,1026.1,69.2,0,0
941,2022-01-08 05:00,-2.8,0,.4,0,1024.7,1025.6,73.6,0,0
941,2022-01-08 06:00,-3,268.8,.8,0,1024.7,1025.6,66.4,0,0
941,2022-01-08 07:00,-2.9,11.8,.6,0,1024.6,1025.5,64.7,0,0
941,2022-01-08 08:00,-3,336.4,.6,0,1024.6,1025.5,61.2,0,0
941,2022-01-08 09:00,-1.3,0,.3,0,1024.9,1025.8,59.8,0,0
941,2022-01-08 10:00,1.1,308.3,1.4,0,1024.6,1025.5,44.3,0,0
941,2022-01-08 11:00,3.7,280.6,1.3,0,1024.1,1025,34.8,0,0
941,2022-01-08 12:00,7.5,235.2,2.2,0,1022.8,1023.7,23.3,0,0
941,2022-01-08 13:00,8.4,216.4,3.5,0,1021.6,1022.5,19.3,0,0
941,2022-01-08 14:00,9.5,261.2,4.4,0,1020.6,1021.4,18.2,0,0
941,2022-01-08 15:00,10.2,256.9,3.6,0,1020.3,1021.2,16.5,0,0
941,2022-01-08 16:00,9.9,247.9,3.3,0,1020.3,1021.1,18.1,0,0
941,2022-01-08 17:00,8.7,256.8,1.4,0,1020.5,1021.4,20.3,0,0
941,2022-01-08 18:00,6.6,280,.9,0,1020.9,1021.8,23.6,0,0
941,2022-01-08 19:00,3.6,229.6,.6,0,1021.6,1022.5,37.5,0,0
941,2022-01-08 20:00,2.8,347,.6,0,1021.8,1022.7,39.6,0,0
941,2022-01-08 21:00,1.9,0,.3,0,1022.1,1023,46.8,0,0
941,2022-01-08 22:00,.7,0,.4,0,1022.5,1023.4,59,0,0
941,2022-01-08 23:00,0,353.1,.6,0,1022.6,1023.5,62.5,0,0
941,2022-01-09 00:00,-1,0,.3,0,1022.4,1023.3,71.9,0,0
941,2022-01-09 01:00,-1.1,0,.3,0,1022.2,1023.1,74.8,0,0
941,2022-01-09 02:00,-1.2,13.6,.5,0,1022.1,1023,71.8,0,0
941,2022-01-09 03:00,-1.5,0,.4,0,1021.9,1022.8,73.1,0,0
941,2022-01-09 04:00,-1.8,0,.3,0,1021.4,1022.3,82.2,0,0
941,2022-01-09 05:00,-1.5,276,.6,0,1021.4,1022.3,80.5,0,0
941,2022-01-09 06:00,-1.6,354.6,.6,0,1021.5,1022.4,81.9,0,0
941,2022-01-09 07:00,-.6,10.9,.9,0,1021.7,1022.6,77.6,0,0
941,2022-01-09 08:00,-.8,19,.5,0,1021.9,1022.8,73.2,0,0
941,2022-01-09 09:00,1.3,303.6,.6,0,1022,1022.9,74.4,0,0
941,2022-01-09 10:00,3.4,295.4,.7,0,1022.3,1023.2,69.8,0,0
941,2022-01-09 11:00,6.4,236.8,1.4,0,1021.9,1022.8,49.7,0,0
941,2022-01-09 12:00,7.3,227,1.6,0,1021,1021.9,45.7,0,0
941,2022-01-09 13:00,8.5,240.4,2.2,0,1020.1,1021,43.1,0,0
941,2022-01-09 14:00,8.6,224.1,2.1,0,1019.7,1020.6,43.7,0,0
941,2022-01-09 15:00,8.4,220.1,2.2,0,1019.7,1020.6,44.5,0,0
941,2022-01-09 16:00,8.3,224.3,1.3,0,1019.6,1020.5,44.2,0,0
941,2022-01-09 17:00,7.5,246.1,.8,0,1019.8,1020.7,46.7,0,0
941,2022-01-09 18:00,6.5,60.7,1.4,0,1020.3,1021.2,51.4,0,0
941,2022-01-09 19:00,4.3,0,.3,0,1020.9,1021.8,65.2,0,0
941,2022-01-09 20:00,4.6,26.8,1.2,0,1021.2,1022.1,60.8,0,0
941,2022-01-09 21:00,1.9,351.5,1,0,1021.7,1022.6,76.7,0,0
941,2022-01-09 22:00,2.3,28.6,.8,0,1021.9,1022.8,72,0,0
941,2022-01-09 23:00,1.3,18.4,.8,0,1021.5,1022.4,73.1,0,0
941,2022-01-10 00:00,.6,8.3,1,0,1021.5,1022.4,77.5,0,0
941,2022-01-10 01:00,.5,7.2,1.2,0,1021.3,1022.2,79.9,0,0
941,2022-01-10 02:00,.8,354.5,1.3,0,1021.5,1022.4,75.9,0,0
941,2022-01-10 03:00,-.2,3.2,1.1,0,1021.6,1022.5,83.2,0,0
941,2022-01-10 04:00,-.5,10,1.6,0,1021.2,1022.1,83.6,0,0
941,2022-01-10 05:00,-.5,1,1.2,0,1021.1,1022,81.7,0,0
941,2022-01-10 06:00,-.7,355.8,.6,0,1021.6,1022.5,85.5,0,0
941,2022-01-10 07:00,-.3,6.2,.9,0,1021.6,1022.5,82.4,0,0
941,2022-01-10 08:00,.3,352.5,.8,0,1021.9,1022.8,81.3,0,0
941,2022-01-10 09:00,1.3,328.4,.9,0,1022.1,1023,78,0,0
941,2022-01-10 10:00,2.9,352.1,1,0,1022,1022.9,67.3,0,0
941,2022-01-10 11:00,5.3,306.5,1.6,0,1021.5,1022.4,59.4,0,0
941,2022-01-10 12:00,7.7,350.8,1,0,1019.9,1020.8,50.6,0,0
941,2022-01-10 13:00,9.4,218.1,1.5,0,1019,1019.8,42.6,0,0
941,2022-01-10 14:00,11.1,260.9,1.6,0,1017.7,1018.5,46,0,0
941,2022-01-10 15:00,11.6,253.9,1.6,0,1016.9,1017.7,41.9,0,0
941,2022-01-10 16:00,11.3,263.9,1.1,0,1016.7,1017.5,43.5,0,0
941,2022-01-10 17:00,9.9,190.9,1.7,0,1016.6,1017.4,47.9,0,0
941,2022-01-10 18:00,8.9,153,1.8,0,1016.5,1017.3,54.1,0,0
941,2022-01-10 19:00,7.9,155.4,1.6,0,1016.4,1017.3,60.7,0,0
941,2022-01-10 20:00,6.7,268,.7,0,1016.2,1017.1,65.5,0,0
941,2022-01-10 21:00,5.9,335.2,.8,0,1015.6,1016.5,69.6,0,0
941,2022-01-10 22:00,5.4,0,.3,0,1014.8,1015.7,70.3,0,0
941,2022-01-10 23:00,4.7,340.9,1.2,0,1014.6,1015.5,73.9,0,0
941,2022-01-11 00:00,3.7,0,.2,0,1014.2,1015.1,80.1,0,0
941,2022-01-11 01:00,4.8,263.2,1.7,0,1013.1,1014,68.3,0,0
941,2022-01-11 02:00,4.8,221.2,1.9,0,1012.7,1013.6,58.5,0,0
941,2022-01-11 03:00,5,271,2.3,0,1012.6,1013.5,50.3,0,0
941,2022-01-11 04:00,5,288.4,2.6,0,1012,1012.9,43.4,0,0
941,2022-01-11 05:00,4.5,293.9,2.8,0,1012,1012.9,48.1,0,0
941,2022-01-11 06:00,3.8,273.1,2.7,0,1012,1012.9,52.2,0,0
941,2022-01-11 07:00,3,263,3.1,0,1012.6,1013.5,57.7,0,0
941,2022-01-11 08:00,2.8,280.2,1.8,0,1013.1,1014,60.6,0,0
941,2022-01-11 09:00,3.4,282,4.8,0,1013.8,1014.7,55.1,0,0
941,2022-01-11 10:00,3.3,276.9,5.4,0,1014.3,1015.2,45.2,0,0
941,2022-01-11 11:00,2.4,310,5.1,0,1015.2,1016.1,51.6,0,0
941,2022-01-11 12:00,2.5,293.1,4.9,0,1014.5,1015.4,38.7,0,0
941,2022-01-11 13:00,3,303.3,5.8,0,1014.1,1015,20.3,0,0
941,2022-01-11 14:00,2.8,295.8,7.2,0,1014.3,1015.2,18.4,0,0
941,2022-01-11 15:00,2.5,308.7,6.8,0,1014.4,1015.3,17.3,0,0
941,2022-01-11 16:00,2.4,300.5,6,0,1015.2,1016.1,19.6,0,0
941,2022-01-11 17:00,1.4,315.6,5.2,0,1016.2,1017.1,22.5,0,0
941,2022-01-11 18:00,.4,289.4,3.8,0,1017.5,1018.4,27.3,0,0
941,2022-01-11 19:00,-.4,316.5,2.5,0,1018.8,1019.7,28.8,0,0
941,2022-01-11 20:00,-1.2,293,2.2,0,1019.7,1020.6,33.4,0,0
941,2022-01-11 21:00,-1.4,298,4.2,0,1020.5,1021.4,32.5,0,0
941,2022-01-11 22:00,-1.9,315.2,4.6,0,1020.4,1021.3,32.9,0,0
941,2022-01-11 23:00,-2.4,307,4.7,0,1020.1,1021,32.8,0,0
941,2022-01-12 00:00,-2.9,320.6,1.4,0,1020.6,1021.5,34,0,0
941,2022-01-12 01:00,-3.6,216.5,1.1,0,1020.3,1021.2,34.4,0,0
941,2022-01-12 02:00,-3.5,331.6,3,0,1020.3,1021.2,32.9,0,0
941,2022-01-12 03:00,-3.9,302.7,2.4,0,1020.4,1021.3,35.5,0,0
941,2022-01-12 04:00,-4.1,263.5,2.3,0,1020.5,1021.4,34.8,0,0
941,2022-01-12 05:00,-4.7,248.1,1.4,0,1020.7,1021.6,38.8,0,0
941,2022-01-12 06:00,-4.6,57.4,2.4,0,1020.8,1021.7,37,0,0
941,2022-01-12 07:00,-4.9,204.9,1.4,0,1021.4,1022.3,40.9,0,0
941,2022-01-12 08:00,-4.2,20.6,1.7,0,1022,1022.9,33.3,0,0
941,2022-01-12 09:00,-3.1,313.8,1.5,0,1021.9,1022.8,29.5,0,0
941,2022-01-12 10:00,-1.7,330.4,2.6,0,1022,1022.9,26.3,0,0
941,2022-01-12 11:00,-.4,303.4,2.2,0,1021.5,1022.4,23.1,0,0
941,2022-01-12 12:00,.9,324.3,3,0,1020.4,1021.3,21.9,0,0
941,2022-01-12 13:00,2,281,2.2,0,1019.1,1020,19.7,0,0
941,2022-01-12 14:00,2.6,249.6,4.6,0,1018.7,1019.6,23.6,0,0
941,2022-01-12 15:00,3,286.4,3.6,0,1018.2,1019.1,20.8,0,0
941,2022-01-12 16:00,3.5,285.9,3.2,0,1018.1,1019,20.3,0,0
941,2022-01-12 17:00,2.8,269.5,3.3,0,1018.6,1019.5,24.1,0,0
941,2022-01-12 18:00,1.6,286.6,1.4,0,1018.9,1019.8,26.5,0,0
941,2022-01-12 19:00,.5,237.2,1.3,0,1018.6,1019.5,33.8,0,0
941,2022-01-12 20:00,-.5,290,.9,0,1019,1019.9,38.8,0,0
941,2022-01-12 21:00,-1.1,0,.4,0,1019.5,1020.4,35,0,0
941,2022-01-12 22:00,-.7,257.9,2.5,0,1019,1019.9,36.1,0,0
941,2022-01-12 23:00,-.9,261.1,3.6,0,1018.4,1019.3,39.3,0,0
941,2022-01-13 00:00,-.8,256.9,3.4,0,1018.5,1019.4,41.5,0,0
941,2022-01-13 01:00,-.7,251,4.1,0,1018.8,1019.7,37.4,0,0
941,2022-01-13 02:00,-1,267.6,3.7,0,1018.8,1019.7,31.5,0,0
941,2022-01-13 03:00,-1.6,262.5,3.5,0,1018.3,1019.2,34,0,0
941,2022-01-13 04:00,-2.4,252.9,3.2,0,1017.9,1018.8,39.7,0,0
941,2022-01-13 05:00,-2.8,256.4,3.3,0,1018.1,1019,38.7,0,0
941,2022-01-13 06:00,-3,243.5,2.2,0,1018,1018.9,40.6,0,0
941,2022-01-13 07:00,-3.2,238.3,1.5,0,1017.7,1018.6,40.8,0,0
941,2022-01-13 08:00,-3.4,236.2,1.7,0,1017.6,1018.5,43.2,0,0
941,2022-01-13 09:00,-2.2,234.4,2.3,0,1017.9,1018.8,41.8,0,0
941,2022-01-13 10:00,0,282.5,2.8,0,1018.1,1019,39.2,0,0
941,2022-01-13 11:00,.2,283.2,5.5,0,1018.6,1019.5,42,0,0
941,2022-01-13 12:00,1.2,305.7,5.1,0,1018,1018.9,39.5,0,0
941,2022-01-13 13:00,1.2,302.2,6.3,0,1016.9,1017.8,35.6,0,0
941,2022-01-13 14:00,2.6,279.2,5.3,0,1016.3,1017.2,24.1,0,0
941,2022-01-13 15:00,2.2,275,6.4,0,1016.2,1017.1,23.2,0,0
941,2022-01-13 16:00,2.1,276,5.8,0,1016.6,1017.5,22.2,0,0
941,2022-01-13 17:00,1.4,296.8,3.6,0,1017.3,1018.2,23.9,0,0
941,2022-01-13 18:00,.5,296,3.8,0,1017.9,1018.8,26.6,0,0
941,2022-01-13 19:00,-.5,277.9,2.5,0,1018.5,1019.4,32.4,0,0
941,2022-01-13 20:00,-1,239.3,2.9,0,1019,1019.9,34.4,0,0
941,2022-01-13 21:00,-1.2,282.7,3.2,0,1020.1,1021,31.1,0,0
941,2022-01-13 22:00,-1.8,271.2,3.3,0,1020.8,1021.7,34.2,0,0
941,2022-01-13 23:00,-2.7,283.2,1.8,0,1021.4,1022.3,40.3,0,0
941,2022-01-14 00:00,-2.9,275.7,3,0,1021.6,1022.5,38.7,0,0
941,2022-01-14 01:00,-3.3,271.5,3.5,0,1021.9,1022.8,42.6,0,0
941,2022-01-14 02:00,-3.9,282,3.2,0,1022.6,1023.5,44.5,0,0
941,2022-01-14 03:00,-3.9,290.8,4,0,1023.2,1024.1,44.3,0,0
941,2022-01-14 04:00,-4.4,295.1,3.7,0,1023.2,1024.1,46.7,0,0
